Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
1.0	5.19705296904212	-0.2569856977492111	-0.6890084853354204	-0.9069545488449735	0.7468637506123876	0.3528628169967869	-0.28400661306030983	0.0691956534729794	-0.48475894847687084
2.0	5.061369850714847	0.6488559609413895	-0.28964238110125606	-0.7349888369848521	-0.017409194364921277	-0.6384314200127743	-0.4272782418906347	0.549333555769798	0.9083553267100688
3.0	5.346037194627438	0.31522762590391307	-0.9481346006296962	0.34711835336858576	-0.5083798940557871	-0.6918790638020049	0.934884294739998	-0.6946033343858187	0.9369312112468193
4.0	4.545800535608247	-0.5447583376786544	0.15651963728903628	0.11757665690527697	0.3662815459048603	0.6414920003395366	-0.13901497786766837	0.3804115416403282	-0.22468388594263544
5.0	4.665057828185323	-0.14880996462663032	-0.0034540229879966855	0.36646040729803486	0.5818815951166458	0.08732454701335168	0.35934787867650564	0.2518362121886357	-0.9051345422988468
6.0	5.108006301210883	-0.450721817072971	0.6307755621430644	0.12528799776911437	0.40330713241077376	0.9191638627811178	-0.9602300352155055	-0.7256967279233029	-0.2654513395514355
7.0	4.239085563143532	-0.3332968631267028	0.3807464119445547	0.23626569550553334	0.23435033678351247	0.02837327990584404	-0.7763857192612422	-0.15937889180913944	0.37703420015294364
8.0	5.356948692427612	0.886834458315416	0.9006809832576181	0.49402869348358935	0.5295544377508752	0.8268179382460599	-0.2335997232949809	-0.7410177456651938	-0.7126921888869231
9.0	4.853985597752169	-0.16131383751148753	0.9475490528910855	-0.6766469662274157	-0.7352403749396563	0.18911568975231074	0.9902775412996312	-0.2359977892119718	-0.18111378410549994
10.0	5.069901209938843	0.21926814658802551	-0.8567264288747076	0.03501358223333928	0.7723654065511454	-0.7098828164915276	-0.24167169549893552	-0.5458741883168206	-0.8738517380395019
11.0	4.638560086033711	-0.3936129968567075	0.32269693618187023	0.24635259965208153	0.2490831621097601	0.09397657252876447	-0.5976910733846955	0.026661990026559716	0.2761556594536626
12.0	4.498142186125717	-0.2837805354940201	0.3537460551222304	0.19600856896220045	0.2260120834078889	-0.025763550563798206	-0.8245783370794688	-0.18560561287314645	0.4545689322400077
13.0	4.414928906002825	-0.35137877521076194	0.41648619703303486	0.26266480323484326	0.2356593849130343	0.04626930610000251	-0.7930976322112822	-0.19307168023971197	0.3519649450770769
14.0	4.352853198553051	-0.3408158682076517	0.385865884264411	0.24029837991855782	0.2373919913943573	0.04495611829744284	-0.7695365401286992	-0.159398673761427	0.359288813320632
15.0	4.458554067776078	-0.3487681585873005	0.36820064860744467	0.25677049556632014	0.22568596845501052	-0.011232283141405126	-0.739735655766042	-0.10045371117003972	0.39218213054670475
16.0	4.630705907904518	-0.3008163154319125	0.3654457259080901	0.16667170462444214	0.26204377000219303	0.14677446561942506	-0.7906849835860742	-0.21772966063093305	0.31623751332376543
17.0	4.360835957439701	-0.4327497511618397	0.3864333596971072	0.25850238498951855	0.23265811146459717	-0.027995670991361063	-0.8115006652933718	-0.17895536300244305	0.35606790975583325
18.0	4.717606421887289	-0.5973528798687311	0.6136343244288568	0.5251741753448333	0.16259607608358365	-0.27546772770459216	-1.0	-0.18566020353832946	0.5698098046561672
19.0	4.568866542133016	-0.35179754762486304	0.45052988405487093	0.35655819922281873	0.20543755414356318	-0.07008434984374172	-0.7531680180958055	-0.22223394790350576	0.3312424534206041
20.0	4.792893430736278	-0.44142125423494366	0.4093379302574597	0.2424323407201206	0.24427521367758076	0.05214443577873544	-0.848382465588399	-0.10878698292377842	0.4239418653673811
21.0	4.22059659570332	-0.34695189434668483	0.3482505755508616	0.2218405373135948	0.23219851722764936	-0.021877673940834914	-0.7700500842374592	-0.19681845334009299	0.3437572878978137
22.0	4.85097203498454	-0.4946140099924693	0.19024066952259105	0.15613636174211745	0.3284022712039038	0.4539910364695939	-0.25470645044404294	0.2743703640995435	-0.08883406010268066
23.0	4.734815037930009	-0.5890093549073667	0.12660887235087295	0.08362541557666013	0.39987898610978206	0.8072647355516769	-0.036488840992749794	0.4742106763040539	-0.34511781646012807
24.0	4.311308990385209	-0.35930900281588607	0.3640799520389766	0.207810760263411	0.27333062904541955	-0.029611472540731286	-0.7406050755215595	-0.21227464548922534	0.3595058905761957
25.0	4.2915168798596595	-0.3579807663568803	0.31015700959663994	0.2379144886997957	0.1851105227055629	-0.007856886687156875	-0.7699930485866556	-0.20823447420559738	0.34122633047183143
26.0	4.545344039657671	-0.3275382158643792	0.35144303872463184	0.21152021913670893	0.23063224243503153	-0.04477363531018837	-0.8064049007117949	-0.1656999634543074	0.29392215338635624
27.0	4.063142811998783	-0.35170133398927844	0.3524101366627655	0.23832425883078642	0.2209184181442843	-0.0018543542303966563	-0.7620853383365178	-0.20782850600744548	0.3862139808939163
28.0	4.452600412625868	-0.4787133308106095	0.30797854326906826	0.18435034740204226	-0.04351377027366721	0.41294339982559225	-0.0017593570378284795	-0.43058185138559635	0.5773919940155818
29.0	3.9116027199859924	-0.3510025062778705	0.38137231755141326	0.22499944922277074	0.18893538330405202	-0.006749341910934259	-0.7543601092761493	-0.21767284840911216	0.40488568927405605
30.0	4.642899954327188	-0.31135076706346404	-0.40319675596266774	0.3286624774788818	0.13152109679267696	0.2635195993731499	0.1281536172645135	-0.2200721303429528	0.36370012602855695
31.0	4.2828058518443575	-0.42182898475351266	0.335992894391265	0.1869580022032733	-0.006646111204530546	0.2927334274204257	-0.19546353696549512	-0.37467955184745616	0.5369310082154434
32.0	4.529425924086962	-0.56351514213744	0.32145138851996036	0.18585695123400447	0.04003044896322636	0.29809155513107904	-0.19815492667485815	-0.45537770612607176	0.5963386345099136
33.0	4.476138442496918	-0.3070567281485782	0.362532492754717	0.21409757893297163	0.02177587327963738	0.3909644189780977	-0.12860676265081133	-0.3243813780832385	0.5464031476992565
34.0	4.244986313700527	-0.3583242588732675	0.3987190810361098	0.20625517242946942	0.1538632410708688	-0.002418049852994125	-0.7270340904496934	-0.2418418613037269	0.42269836092737195
35.0	4.566812988534536	-0.016190884332288675	0.11821362183403358	0.32664075879806004	0.15392938634178635	0.6119693079867566	0.2574088622848213	-0.36460282713029607	0.6155105580923296
36.0	4.367038159087609	-0.18482966493927067	0.16487569096297894	0.0660164304820765	0.5498359572258513	0.07567303471644915	0.17202049198705005	-0.3647872734689164	0.5498125385271244
37.0	4.855434765145711	-0.41508321229154566	0.3071360169028706	0.1623517980152753	-0.10629986290266479	0.2891435097108051	-0.1083924135280193	-0.37543519285909543	0.4965337923350053
