n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime, condition, aqauxdata
1, -0.07341246980119909, 0.10150909024035792, 0.0, [nan], 791.9609037411851, 1.0, -0.07341246980119909, 0.10150909024035792, 791.9609037411851,0.0002909999999998192, 0.00036199999999997345, 5.100000000002325e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
2, -0.5765078889830015, 0.5616088330686517, 0.0, [nan], 806.1197086243196, 1.0, -0.07341246980119909, 0.10150909024035792, 791.9609037411851,0.00021500000000007624, 0.00022400000000000198, 6.399999999984196e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
3, 0.5425265215879251, 0.04082745903133311, 0.0, [nan], 1045.288861315229, 1.0, -0.07341246980119909, 0.10150909024035792, 791.9609037411851,0.00019999999999997797, 0.00023700000000004273, 7.500000000004725e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
4, -0.533245442898133, 0.2861859544036103, 0.0, [nan], 764.2078699975059, 1.0, -0.533245442898133, 0.2861859544036103, 764.2078699975059,0.00015799999999988046, 0.00026799999999993496, 6.600000000012152e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
5, -0.7428754781903693, -0.5908021053276076, 0.0, [nan], 696.3311060564288, 1.0, -0.7428754781903693, -0.5908021053276076, 696.3311060564288,0.00018999999999991246, 0.00016100000000007775, 5.6000000000056005e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
6, -0.6980626876844094, -0.6640373723714652, 0.0, [nan], 584.7703452289747, 1.0, -0.6980626876844094, -0.6640373723714652, 584.7703452289747,0.00013799999999997148, 0.00015799999999988046, 4.2000000000097515e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
7, -0.8979499942808973, -0.1898291663752385, 0.0, [nan], 1131.0589957942725, 1.0, -0.6980626876844094, -0.6640373723714652, 584.7703452289747,0.000124000000000013, 0.00021100000000018326, 5.599999999983396e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
8, 0.7433376385021055, -0.43266976167581994, 0.0, [nan], 865.3093370172752, 1.0, -0.6980626876844094, -0.6640373723714652, 584.7703452289747,0.00012499999999993072, 0.00014500000000006175, 4.199999999987547e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
9, 0.03775403261225163, 0.4465921790702192, 0.0, [nan], 700.9619533255791, 1.0, -0.6980626876844094, -0.6640373723714652, 584.7703452289747,0.000124000000000013, 0.00015799999999988046, 5.6000000000056005e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
10, -0.16026436815162226, -0.5088593477749284, 0.0, [nan], 813.2870347135058, 1.0, -0.6980626876844094, -0.6640373723714652, 584.7703452289747,0.000172000000000061, 0.00015500000000012726, 4.199999999987547e-05, 14:12:11  12-04-20,0.0,host broman-Aspire-V5-591G
11, -0.6975673748767931, -0.6574814792822137, 0.0, [nan], 561.2925547826981, 1.0, -0.6860587905280084, -0.5225313989172171, 612.3024299188542,31.281162, 0.0003030000000023847, 0.1064140000000009, 14:12:37  12-04-20,0.0,AQvalue [2.33],HYPstats {'mean': array([4.53  0.04  0.27])  'std': array([0.00   0.00  0.07])  'min': array([4.53  0.04  0.18])  'max': array([4.53  0.05  0.55])},HYPdraws [array([4.53  0.05  0.23 ])  array([4.53  0.04  0.27])  array([4.53  0.04  0.20])  array([4.53  0.05  0.18])  array([4.53  0.04  0.19])  array([4.53  0.04  0.29])  array([4.53  0.05   0.18])  array([4.53  0.04  0.20])  array([4.53  0.04  0.25])  array([4.53  0.04  0.55])  array([4.53  0.04  0.35])  array([4.53  0.04  0.21 ])  array([4.53  0.05  0.21])  array([4.53  0.04   0.31])  array([4.53   0.05  0.26])  array([4.53    0.04  0.28])  array([4.53  0.04   0.23])  array([4.53  0.04  0.20])  array([4.53  0.04  0.38])  array([4.53  0.04  0.30])  array([4.53   0.04  0.25])  array([4.53  0.04  0.30])  array([4.53  0.04  0.25])  array([4.53  0.04  0.22])  array([4.53  0.04  0.41])  array([4.53  0.04  0.26])  array([4.53  0.04  0.24])  array([4.53  0.04  0.28])],mindraws [[0.66 0.70]; [0.66 0.51 ]; [0.66 0.70]; [0.66 0.70]; [0.66 0.69]; [0.65 0.69]; [0.66 0.70]; [0.65 0.69]; [0.66 0.70]; [0.65 0.69]; [0.66 0.69]; [0.66 0.70]; [0.66 0.70]; [0.66 0.69]; [0.66 0.69]; [0.66 0.70]; [0.66 0.68]; [0.66 0.69]; [0.65 0.70]; [0.66 0.69  ]; [0.66 0.70]; [0.66 0.69 ]; [0.65  0.69]; [0.66 0.69]; [0.66 0.69]; [0.66 0.69]; [0.66 0.69]; [0.66 0.71]; [0.66 0.69]; [0.66 0.69]; [0.65 0.69]; [0.66 0.70]; [0.65  0.70]; [0.65  0.70]; [0.66 0.70]; [0.66 0.69]],DIRECTmessage b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',PESmin [-2.33],kindex 9,PIatX [0.53],host broman-Aspire-V5-591GreuseH [array([4.53  0.05  0.23 ])  array([4.53  0.04  0.27])  array([4.53  0.04  0.20])  array([4.53  0.05  0.18])  array([4.53  0.04  0.19])  array([4.53  0.04  0.29])  array([4.53  0.05   0.18])  array([4.53  0.04  0.20])  array([4.53  0.04  0.25])  array([4.53  0.04  0.55])  array([4.53  0.04  0.35])  array([4.53  0.04  0.21 ])  array([4.53  0.05  0.21])  array([4.53  0.04   0.31])  array([4.53   0.05  0.26])  array([4.53    0.04  0.28])  array([4.53  0.04   0.23])  array([4.53  0.04  0.20])  array([4.53  0.04  0.38])  array([4.53  0.04  0.30])  array([4.53   0.04  0.25])  array([4.53  0.04  0.30])  array([4.53  0.04  0.25])  array([4.53  0.04  0.22])  array([4.53  0.04  0.41])  array([4.53  0.04  0.26])  array([4.53  0.04  0.24])  array([4.53  0.04  0.28])],ppveatx 0.98,rpve 0.0,R [[-2.40e-04 -9.99e-01]; [-9.99e-01  2.40e-04]]
